Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
4,1651224491730,29/04/2022 09:28:11,1651224488401,5.5,29/04/2022 14:58:08,85779,6,questionnaire-mfi8,,21581032,mb7idu80,6379225,,complete,desxyh,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x601,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,15200
1,1651229465789,29/04/2022 10:51:05,1651229448009,5.5,29/04/2022 16:20:48,85779,6,questionnaire-mfi8,,21582380,jtadkwra,6379708,,complete,hdhhir,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651229498100,29/04/2022 10:51:38,1651229480059,5.5,29/04/2022 16:21:20,85779,6,questionnaire-mfi8,,21582380,jtadkwra,6379708,,complete,hdhhir,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651229498634,29/04/2022 10:51:38,1651229480405,5.5,29/04/2022 16:21:20,85779,6,questionnaire-mfi8,,21582380,jtadkwra,6379708,,complete,hdhhir,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651229498634,29/04/2022 10:51:38,1651229480405,5.5,29/04/2022 16:21:20,85779,6,questionnaire-mfi8,,21582380,jtadkwra,6379708,,complete,hdhhir,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,32396
1,1651242497818,29/04/2022 14:28:17,1651242497870,5.5,29/04/2022 19:58:17,85779,6,questionnaire-mfi8,,21585935,g32u8hap,6380909,,complete,miqzxa,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651242502277,29/04/2022 14:28:22,1651242502376,5.5,29/04/2022 19:58:22,85779,6,questionnaire-mfi8,,21585935,g32u8hap,6380909,,complete,miqzxa,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651242502528,29/04/2022 14:28:22,1651242502377,5.5,29/04/2022 19:58:22,85779,6,questionnaire-mfi8,,21585935,g32u8hap,6380909,,complete,miqzxa,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651242502528,29/04/2022 14:28:22,1651242502378,5.5,29/04/2022 19:58:22,85779,6,questionnaire-mfi8,,21585935,g32u8hap,6380909,,complete,miqzxa,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,4508
1,1651303765090,30/04/2022 07:29:25,1651303764843,5.5,30/04/2022 12:59:24,85779,6,questionnaire-mfi8,,21594100,kfm810wo,6383389,,complete,rpwxdn,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x649,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
