Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
1,1651340069151,30/04/2022 17:34:29,1651340064215,5.5,30/04/2022 23:04:24,85779,6,questionnaire-nvwz,,21598727,dymkyl52,6384564,,complete,heolok,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651340075006,30/04/2022 17:34:35,1651340070102,5.5,30/04/2022 23:04:30,85779,6,questionnaire-nvwz,,21598727,dymkyl52,6384564,,complete,heolok,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651340075228,30/04/2022 17:34:35,1651340070104,5.5,30/04/2022 23:04:30,85779,6,questionnaire-nvwz,,21598727,dymkyl52,6384564,,complete,heolok,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,5889
1,1651471488224,02/05/2022 06:04:48,1651471488067,5.5,02/05/2022 11:34:48,85779,6,questionnaire-nvwz,,21612395,duhn6k85,6389926,,complete,bpchhd,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651471497803,02/05/2022 06:04:57,1651471497688,5.5,02/05/2022 11:34:57,85779,6,questionnaire-nvwz,,21612395,duhn6k85,6389926,,complete,bpchhd,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x657,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1651471498138,02/05/2022 06:04:58,1651471497691,5.5,02/05/2022 11:34:57,85779,6,questionnaire-nvwz,,21612395,duhn6k85,6389926,,complete,bpchhd,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x657,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,9624
1,1651478359610,02/05/2022 07:59:19,1651478357355,5.5,02/05/2022 13:29:17,85779,6,questionnaire-nvwz,,21613149,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651478364675,02/05/2022 07:59:24,1651478362471,5.5,02/05/2022 13:29:22,85779,6,questionnaire-nvwz,,21613149,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1651478365011,02/05/2022 07:59:25,1651478362473,5.5,02/05/2022 13:29:22,85779,6,questionnaire-nvwz,,21613149,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,5118
1,1651673147863,04/05/2022 14:05:47,1651673153035,5.5,04/05/2022 19:35:53,85779,6,questionnaire-nvwz,,21666846,3fqibna3,6406343,,complete,futrsz,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1600x900,1600x789,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651673285138,04/05/2022 14:08:05,1651673290373,5.5,04/05/2022 19:38:10,85779,6,questionnaire-nvwz,,21666846,3fqibna3,6406343,,complete,futrsz,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1600x900,1583x789,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1651673285524,04/05/2022 14:08:05,1651673290376,5.5,04/05/2022 19:38:10,85779,6,questionnaire-nvwz,,21666846,3fqibna3,6406343,,complete,futrsz,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1600x900,1583x789,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,137341
1,1651298961723,30/04/2022 06:09:21,1651298961795,5.5,30/04/2022 11:39:21,85779,6,questionnaire-nvwz,,21593815,y22eezuz,6383311,,complete,ukrjom,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651299028630,30/04/2022 06:10:28,1651299028389,5.5,30/04/2022 11:40:28,85779,6,questionnaire-nvwz,,21593815,y22eezuz,6383311,,complete,ukrjom,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651299028855,30/04/2022 06:10:28,1651299028390,5.5,30/04/2022 11:40:28,85779,6,questionnaire-nvwz,,21593815,y22eezuz,6383311,,complete,ukrjom,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,66595
1,1651251202924,29/04/2022 16:53:22,1651251203093,5.5,29/04/2022 22:23:23,85779,6,questionnaire-nvwz,,21588303,ybga1xkq,6381813,,complete,dmtuub,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x714,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651251226940,29/04/2022 16:53:46,1651251226727,5.5,29/04/2022 22:23:46,85779,6,questionnaire-nvwz,,21588303,ybga1xkq,6381813,,complete,dmtuub,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1519x714,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651251227176,29/04/2022 16:53:47,1651251226731,5.5,29/04/2022 22:23:46,85779,6,questionnaire-nvwz,,21588303,ybga1xkq,6381813,,complete,dmtuub,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1519x714,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,23638
1,1651246935362,29/04/2022 15:42:15,1651246935589,5.5,29/04/2022 21:12:15,85779,6,questionnaire-nvwz,,21587333,w4veysa0,6381442,,complete,rjslqt,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x601,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651247037775,29/04/2022 15:43:57,1651247038060,5.5,29/04/2022 21:13:58,85779,6,questionnaire-nvwz,,21587333,w4veysa0,6381442,,complete,rjslqt,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1263x601,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1651247038025,29/04/2022 15:43:58,1651247038062,5.5,29/04/2022 21:13:58,85779,6,questionnaire-nvwz,,21587333,w4veysa0,6381442,,complete,rjslqt,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1263x601,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,102472
1,1651245587611,29/04/2022 15:19:47,1651245581850,5.5,29/04/2022 20:49:41,85779,6,questionnaire-nvwz,,21586967,mz8i7r41,6381286,,complete,gzmhxm,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651245599496,29/04/2022 15:19:59,1651245593760,5.5,29/04/2022 20:49:53,85779,6,questionnaire-nvwz,,21586967,mz8i7r41,6381286,,complete,gzmhxm,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1263x577,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1651245599764,29/04/2022 15:19:59,1651245593763,5.5,29/04/2022 20:49:53,85779,6,questionnaire-nvwz,,21586967,mz8i7r41,6381286,,complete,gzmhxm,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1263x577,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,11913
1,1651242490717,29/04/2022 14:28:10,1651242490786,5.5,29/04/2022 19:58:10,85779,6,questionnaire-nvwz,,21585933,g32u8hap,6380909,,complete,miqzxa,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651242495050,29/04/2022 14:28:15,1651242495165,5.5,29/04/2022 19:58:15,85779,6,questionnaire-nvwz,,21585933,g32u8hap,6380909,,complete,miqzxa,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x657,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651242495298,29/04/2022 14:28:15,1651242495167,5.5,29/04/2022 19:58:15,85779,6,questionnaire-nvwz,,21585933,g32u8hap,6380909,,complete,miqzxa,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x657,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,4381
1,1651239245218,29/04/2022 13:34:05,1651239243545,5.5,29/04/2022 19:04:03,85779,6,questionnaire-nvwz,,21585058,xfv1p39q,6380640,,complete,rketnr,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x722,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
