Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
1,1674853351022,27/01/2023 21:02:31,1674853350945,0,27/01/2023 21:02:30,80062,4,questionnaire-nvwz,,26723689,updc7e2r,7928832,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1253x727,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1674853391639,27/01/2023 21:03:11,1674853391564,0,27/01/2023 21:03:11,80062,4,questionnaire-nvwz,,26723689,updc7e2r,7928832,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1253x727,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1674853391720,27/01/2023 21:03:11,1674853391567,0,27/01/2023 21:03:11,80062,4,questionnaire-nvwz,,26723689,updc7e2r,7928832,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1253x727,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,40622
1,1660440764396,14/08/2022 01:32:44,1660440764312,2,14/08/2022 03:32:44,80062,4,questionnaire-nvwz,,23608450,983tg1pz,6917773,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1660440925927,14/08/2022 01:35:25,1660440925811,2,14/08/2022 03:35:25,80062,4,questionnaire-nvwz,,23608450,983tg1pz,6917773,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1263x601,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1660440925990,14/08/2022 01:35:25,1660440925814,2,14/08/2022 03:35:25,80062,4,questionnaire-nvwz,,23608450,983tg1pz,6917773,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1263x601,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,161502
1,1661650077585,28/08/2022 01:27:57,1661650077463,-4,27/08/2022 21:27:57,80062,4,questionnaire-nvwz,,23875460,i3zden1x,7030834,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1536x714,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1661650111041,28/08/2022 01:28:31,1661650110967,-4,27/08/2022 21:28:30,80062,4,questionnaire-nvwz,,23875460,i3zden1x,7030834,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x714,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1661650111171,28/08/2022 01:28:31,1661650110968,-4,27/08/2022 21:28:30,80062,4,questionnaire-nvwz,,23875460,i3zden1x,7030834,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x714,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,33505
1,1662134262990,02/09/2022 15:57:42,1662134263291,2,02/09/2022 17:57:43,80062,4,questionnaire-nvwz,,23954912,h0x0auyk,7062597,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x625,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
