Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
1,1678171171847,07/03/2023 06:39:31,1678171169916,0,07/03/2023 06:39:29,80062,4,questionnaire-99dv,,27885515,y3gkn5f5,8282652,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 110.0.0.0,1536x864,1536x746,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1678171232963,07/03/2023 06:40:32,1678171230980,0,07/03/2023 06:40:30,80062,4,questionnaire-99dv,,27885515,y3gkn5f5,8282652,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 110.0.0.0,1536x864,1536x746,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1678171233059,07/03/2023 06:40:33,1678171230986,0,07/03/2023 06:40:30,80062,4,questionnaire-99dv,,27885515,y3gkn5f5,8282652,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 110.0.0.0,1536x864,1536x746,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,61071
1,1685060258636,26/05/2023 00:17:38,1685060258742,1,26/05/2023 01:17:38,80062,4,questionnaire-99dv,,29730103,xpsgo1e8,8845334,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1685060330598,26/05/2023 00:18:50,1685060330814,1,26/05/2023 01:18:50,80062,4,questionnaire-99dv,,29730103,xpsgo1e8,8845334,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1263x569,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,none 
3,1685060330728,26/05/2023 00:18:50,1685060330816,1,26/05/2023 01:18:50,80062,4,questionnaire-99dv,,29730103,xpsgo1e8,8845334,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1263x569,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,72075
1,1646673116320,07/03/2022 17:11:56,1646673116263,0,07/03/2022 17:11:56,80062,4,questionnaire-99dv,,20154697,xfd68goc,5976403,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1646673173440,07/03/2022 17:12:53,1646673173428,0,07/03/2022 17:12:53,80062,4,questionnaire-99dv,,20154697,xfd68goc,5976403,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1646673174896,07/03/2022 17:12:54,1646673173430,0,07/03/2022 17:12:53,80062,4,questionnaire-99dv,,20154697,xfd68goc,5976403,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,57168
1,1646682968937,07/03/2022 19:56:08,1646682968852,0,07/03/2022 19:56:08,80062,4,questionnaire-99dv,,20162310,gx7kjhbm,5978736,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x601,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
