Participant,RT,ACC,Condition,Item.no,yesButton,Source,Prefix
5997836,442.0999999642372,0,CatViol,34,left,Prolific,proti
5997836,673.9000000357628,0,CatViol,73,left,Prolific,duh
5997836,790.5,1,Gramm,200,left,Prolific,proti
5997836,768.7000000476837,1,SemViol,268,left,Prolific,duh
5997836,355.39999997615814,0,SemViol,258,left,Prolific,proti
5997836,484.699999988079,0,SemViol,250,left,Prolific,duh
5997836,463.4000000357628,1,Gramm,226,left,Prolific,duh
5997836,440.300000011921,1,Gramm,217,left,Prolific,proti
5997836,451.2999999523163,0,SemViol,296,left,Prolific,duh
5997836,464.39999997615814,0,SemViol,302,left,Prolific,duh
5997836,421.699999988079,1,Gramm,201,left,Prolific,duh
5997836,244.79999995231628,0,CatViol,69,left,Prolific,proti
5997836,209.10000002384183,0,SemViol,274,left,Prolific,duh
5997836,327.5,0,SemViol,246,left,Prolific,proti
5997836,440,0,SemViol,297,left,Prolific,duh
5976580,1683,1,SemViol,284,left,Prolific,duh
5976580,1362.2000000476835,0,CatViol,51,left,Prolific,proti
5976580,1216,1,Gramm,209,left,Prolific,duh
5976580,1160.2999999523165,0,CatViol,33,left,Prolific,duh
5976580,1487,1,Gramm,219,left,Prolific,proti
5976580,816.2999999523163,0,CatViol,76,left,Prolific,proti
5976580,1102.5,1,Gramm,221,left,Prolific,duh
5976580,835.9000000953674,1,Gramm,205,left,Prolific,proti
5976580,1573.8000001907349,0,CatViol,49,left,Prolific,proti
5976580,1554.5,1,SemViol,304,left,Prolific,proti
5976580,1441.2000000476835,1,SemViol,279,left,Prolific,proti
5976580,586.8000001907349,0,SemViol,271,left,Prolific,duh
5976580,731.2000000476837,1,Gramm,186,left,Prolific,duh
5976580,1268.5999999046326,0,SemViol,298,left,Prolific,proti
5976580,1241.5,0,CatViol,18,left,Prolific,duh
5976580,1295.1999998092651,1,Gramm,179,left,Prolific,duh
5976580,730.0999999046326,0,SemViol,297,left,Prolific,duh
5976580,784.7999999523163,0,SemViol,248,left,Prolific,duh
5976580,1017.1999998092653,1,SemViol,230,left,Prolific,proti
5976580,970.7999999523164,1,CatViol,28,left,Prolific,duh
5976580,773.5,0,Gramm,173,left,Prolific,proti
5976580,694.3999998569489,1,Gramm,172,left,Prolific,proti
5976580,1010.5,1,SemViol,252,left,Prolific,proti
5976580,1104.6000001430511,1,Gramm,192,left,Prolific,proti
5976580,935.7999999523164,0,CatViol,7,left,Prolific,duh
5976580,902.9000000953674,0,SemViol,296,left,Prolific,duh
5976580,477.90000009536743,0,CatViol,29,left,Prolific,duh
5976580,852.5999999046326,0,Gramm,191,left,Prolific,proti
5976580,609.7999999523163,0,SemViol,256,left,Prolific,proti
5976580,558.2999999523163,0,CatViol,54,left,Prolific,duh
5976580,441.2999999523163,0,SemViol,237,left,Prolific,duh
5976580,407.90000009536743,1,Gramm,195,left,Prolific,proti
5976580,417.2000000476837,0,SemViol,249,left,Prolific,proti
5976580,368,1,Gramm,220,left,Prolific,proti
5976580,366,1,Gramm,187,left,Prolific,proti
5976580,444.59999990463257,1,Gramm,208,left,Prolific,proti
5976580,370,1,Gramm,214,left,Prolific,duh
5976580,510,0,SemViol,281,left,Prolific,proti
5976580,583.2000000476837,0,CatViol,45,left,Prolific,duh
5976580,950.7000000476836,1,Gramm,212,left,Prolific,duh
5976580,438.40000009536743,0,CatViol,21,left,Prolific,proti
5976580,384.59999990463257,1,Gramm,196,left,Prolific,proti
5976580,526.6999998092651,0,SemViol,278,left,Prolific,duh
