Participant,RT,ACC,Condition,Item.no,yesButton,Source,Prefix
5976580,1081.2000000476835,1,CatViol,14,left,Prolific,proti
5976580,863,1,CatViol,55,left,Prolific,duh
5976580,751.1000001430511,1,SemViol,299,left,Prolific,duh
5976580,588.4000000953674,1,SemViol,236,left,Prolific,proti
5976580,477.39999985694885,1,SemViol,261,left,Prolific,proti
5976580,494.2999999523163,1,Gramm,169,left,Prolific,duh
5976580,617.3999998569489,1,Gramm,218,left,Prolific,proti
5976580,648.2999999523163,1,CatViol,41,left,Prolific,duh
5976580,786.2000000476837,1,Gramm,188,left,Prolific,proti
5976580,935,1,CatViol,35,left,Prolific,duh
5976580,875.4000000953674,1,Gramm,207,left,Prolific,proti
5976580,504,1,Gramm,185,left,Prolific,proti
5976580,424.60000014305115,1,Gramm,189,left,Prolific,duh
5976580,759.2000000476837,1,CatViol,44,left,Prolific,proti
5976580,867.5999999046326,1,SemViol,241,left,Prolific,proti
5976580,495.2999999523163,1,Gramm,190,left,Prolific,proti
5976580,360.40000009536743,1,Gramm,204,left,Prolific,duh
5976580,396.7000000476837,1,Gramm,176,left,Prolific,proti
5976580,424.5,1,Gramm,222,left,Prolific,proti
5976580,518.0999999046326,1,Gramm,198,left,Prolific,proti
5976580,501.10000014305115,1,Gramm,201,left,Prolific,duh
5976580,429.7999999523163,1,Gramm,203,left,Prolific,duh
5976580,444,1,Gramm,171,left,Prolific,proti
5976580,473.59999990463257,1,Gramm,202,left,Prolific,duh
5976580,465.40000009536743,1,Gramm,175,left,Prolific,duh
5976580,656.7000000476837,1,Gramm,228,left,Prolific,proti
5976580,623,1,CatViol,40,left,Prolific,proti
5976580,457.89999985694885,1,Gramm,224,left,Prolific,proti
5976580,415.2000000476837,1,Gramm,174,left,Prolific,duh
6041906,1280.5999999642372,1,CatViol,39,right,Prolific,proti
6041906,1366.600000023842,1,Gramm,227,right,Prolific,duh
6041906,1168,1,Gramm,187,right,Prolific,proti
6041906,1064.100000023842,1,SemViol,276,right,Prolific,duh
6041906,1416.899999976158,1,SemViol,260,right,Prolific,proti
6041906,582.8000000119209,1,Gramm,176,right,Prolific,proti
6041906,748.3000000119209,1,Gramm,222,right,Prolific,proti
6041906,707.8000000119209,1,Gramm,209,right,Prolific,duh
6041906,835,1,Gramm,205,right,Prolific,proti
6041906,1222.0999999642372,1,Gramm,214,right,Prolific,duh
6041906,1030.4000000357628,1,CatViol,14,right,Prolific,proti
6041906,987.600000023842,1,Gramm,212,right,Prolific,duh
6041906,730.1999999880791,1,Gramm,215,right,Prolific,proti
6041906,1081.199999988079,1,Gramm,180,right,Prolific,proti
6041906,846,1,Gramm,178,right,Prolific,duh
6041906,753.8000000119209,1,Gramm,181,right,Prolific,duh
6041906,1396.7000000476835,1,SemViol,243,right,Prolific,proti
6041906,707.2000000476837,1,Gramm,199,right,Prolific,proti
6041906,834,1,SemViol,281,right,Prolific,proti
6041906,642,1,Gramm,169,right,Prolific,duh
6041906,1322.600000023842,1,Gramm,190,right,Prolific,proti
6041906,824.6000000238419,1,Gramm,183,right,Prolific,duh
6041906,1076.4000000357628,1,Gramm,189,right,Prolific,duh
6041906,973.6999999880792,1,Gramm,200,right,Prolific,proti
6041906,830.9000000357628,1,Gramm,195,right,Prolific,proti
6041906,668.0999999642372,1,Gramm,210,right,Prolific,duh
6041906,750.8000000119209,1,Gramm,225,right,Prolific,duh
6041906,904.2000000476836,1,Gramm,223,right,Prolific,proti
6041906,751.0999999642372,1,Gramm,208,right,Prolific,proti
6041906,536.5999999642372,1,Gramm,193,right,Prolific,duh
6041906,416.4000000357628,1,Gramm,194,right,Prolific,proti
6041906,731.8000000119209,1,Gramm,213,right,Prolific,duh
6041906,569.5,1,Gramm,170,right,Prolific,duh
6041906,531,1,Gramm,206,right,Prolific,proti
6041906,803.8000000119209,1,Gramm,219,right,Prolific,proti
6041906,784,1,Gramm,218,right,Prolific,proti
6041906,1060.5,1,Gramm,174,right,Prolific,duh
6041906,722.8000000119209,1,Gramm,211,right,Prolific,duh
6041906,631.1999999880791,1,Gramm,221,right,Prolific,duh
6041906,694.6999999880791,1,Gramm,220,right,Prolific,proti
6041906,1266.399999976158,1,SemViol,257,right,Prolific,duh
6041906,727.5,1,Gramm,177,right,Prolific,proti
6041906,527.9000000357628,1,Gramm,204,right,Prolific,duh
6041906,583,1,Gramm,184,right,Prolific,proti
6041906,525.5999999642372,1,Gramm,197,right,Prolific,duh
6041906,696,1,Gramm,191,right,Prolific,proti
6041906,641.3999999761581,1,Gramm,203,right,Prolific,duh
6041906,469.800000011921,1,Gramm,192,right,Prolific,proti
6041906,420.89999997615814,1,Gramm,228,right,Prolific,proti
6041906,371.89999997615814,1,CatViol,20,right,Prolific,proti
6041906,307.69999998807907,1,Gramm,196,right,Prolific,proti
6041906,354.69999998807907,1,Gramm,207,right,Prolific,proti
6041906,294.89999997615814,1,Gramm,179,right,Prolific,duh
6041906,267.5,1,Gramm,188,right,Prolific,proti
6041906,290.2000000476837,1,Gramm,226,right,Prolific,duh
6041906,789.8999999761581,1,Gramm,201,right,Prolific,duh
6041906,277.5,1,Gramm,172,right,Prolific,proti
6041906,424.39999997615814,1,Gramm,185,right,Prolific,proti
6041906,708.1999999880791,1,Gramm,171,right,Prolific,proti
6041906,979,1,Gramm,216,right,Prolific,proti
6041906,253,1,Gramm,182,right,Prolific,proti
6041906,350.80000001192093,1,Gramm,198,right,Prolific,proti
6041906,582.8000000119209,1,Gramm,202,right,Prolific,duh
6384564,1133.7000000029802,1,SemViol,291,left,mTurk,duh
6384564,1272.2999999970198,1,Gramm,210,left,mTurk,duh
6384564,1285.89999999851,1,Gramm,170,left,mTurk,duh
6384564,1196.199999999255,1,Gramm,200,left,mTurk,proti
6384564,1828,1,SemViol,294,left,mTurk,duh
6384564,1398.9000000022352,1,CatViol,20,left,mTurk,proti
6384564,1343.199999999255,1,CatViol,40,left,mTurk,proti
6384564,1442.10000000149,1,CatViol,22,left,mTurk,proti
6384564,1411.39999999851,1,Gramm,203,left,mTurk,duh
6384564,1140.89999999851,1,Gramm,177,left,mTurk,proti
6384564,1081.60000000149,1,SemViol,229,left,mTurk,duh
6384564,1272.800000000745,1,Gramm,196,left,mTurk,proti
6384564,1839.5,1,CatViol,23,left,mTurk,duh
6384564,1428.800000000745,1,CatViol,3,left,mTurk,duh
6384564,818,1,Gramm,209,left,mTurk,duh
6384564,1782.699999999255,1,CatViol,61,left,mTurk,proti
6384564,1072.5999999977648,1,SemViol,289,left,mTurk,proti
6384564,935,1,Gramm,214,left,mTurk,duh
6384564,792.3999999985099,1,Gramm,172,left,mTurk,proti
6384564,1158.300000000745,1,Gramm,179,left,mTurk,duh
6384564,1369.4000000022352,1,SemViol,284,left,mTurk,duh
6384564,1228,1,Gramm,211,left,mTurk,duh
6384564,897.8999999985099,1,Gramm,215,left,mTurk,proti
6384564,737.9000000022352,1,Gramm,173,left,mTurk,proti
6384564,1082.60000000149,1,Gramm,205,left,mTurk,proti
6384564,1878.199999999255,1,SemViol,292,left,mTurk,proti
6384564,1608.10000000149,1,CatViol,35,left,mTurk,duh
6384564,1466.5,1,CatViol,64,left,mTurk,proti
6384564,1456.9000000022352,1,CatViol,74,left,mTurk,proti
6384564,1616.5999999977648,1,Gramm,218,left,mTurk,proti
6384564,1264,1,SemViol,280,left,mTurk,proti
6384564,1236,1,SemViol,304,left,mTurk,proti
6384564,1188.5,1,SemViol,231,left,mTurk,proti
6384564,1490.199999999255,1,Gramm,217,left,mTurk,proti
6384564,996,1,Gramm,204,left,mTurk,duh
6384564,1597.10000000149,1,SemViol,230,left,mTurk,proti
6384564,1433.300000000745,1,Gramm,223,left,mTurk,proti
6384564,1834.5999999977648,1,CatViol,59,left,mTurk,duh
6384564,816.3000000007451,1,Gramm,176,left,mTurk,proti
6384564,667.4000000022352,1,Gramm,195,left,mTurk,proti
6384564,1508.699999999255,1,Gramm,191,left,mTurk,proti
6384564,1071.300000000745,1,SemViol,286,left,mTurk,proti
6384564,1253.800000000745,1,SemViol,244,left,mTurk,proti
6384564,1651.5,1,SemViol,299,left,mTurk,duh
6384564,1365.10000000149,1,SemViol,261,left,mTurk,proti
6384564,1871.199999999255,1,SemViol,281,left,mTurk,proti
6384564,1831.89999999851,1,CatViol,27,left,mTurk,proti
6384564,1769.699999999255,1,SemViol,272,left,mTurk,proti
6384564,833,1,Gramm,220,left,mTurk,proti
6384564,767.3000000007451,1,Gramm,213,left,mTurk,duh
6384564,777.1000000014901,1,Gramm,201,left,mTurk,duh
6384564,1813.29999999702,1,SemViol,247,left,mTurk,proti
6384564,1340,1,SemViol,301,left,mTurk,proti
6384564,1161.699999999255,1,Gramm,222,left,mTurk,proti
6384564,928.1999999992548,1,Gramm,192,left,mTurk,proti
6384564,1712.5,1,CatViol,73,left,mTurk,duh
6384564,1544.699999999255,1,SemViol,264,left,mTurk,proti
6384564,1033.2000000029802,1,Gramm,207,left,mTurk,proti
6384564,870.2000000029802,1,Gramm,226,left,mTurk,duh
6384564,1287.9000000022352,1,Gramm,198,left,mTurk,proti
6384564,1489.699999999255,1,SemViol,276,left,mTurk,duh
6384564,1615.5999999977648,1,SemViol,263,left,mTurk,duh
6384564,1499.2999999970198,1,CatViol,25,left,mTurk,duh
6384564,1357.89999999851,1,CatViol,39,left,mTurk,proti
6384564,1411.9000000022352,1,Gramm,225,left,mTurk,duh
