ItemNo,Item.no,Target,Condition,ITEMNO,length,noise,stim,width,height,blackPx,luminance,Word,WordPhonetic,WLp,WordLenPhonetic,WLa,WLc,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq_old,log_stemFreq_old,stemFreq,log_stemFreq,Tp,log_Tp,Types,Exclude,wordFreq,log_wordFreq,TP_old,log_TP_old,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
S03,231,প্রতিমেয়ে,SemViol,S03,9,a,প্রতিমেয়ে,503,166,19934,129.1249105,প্রতিমেয়ে,prot̪imeʲe,8,11,4,9,9,মেয়ে,NA,NA,6.8,630.8271974,2.799910409,542.511,2.734408548,0.0001843280597,-3.734408548,2422,NA,0.1,-1,0.0001585220175,-3.799910409,0.05462182614,0.05444595147,0.01520293966,-0.000955001464,0.0394677177,56.46799257
G10,178,দুর্ব্যবহার,Gramm,G10,11,a,দুর্ব্যবহার,514,200,19413,127.830918,দুর্ব্যবহার,d̪urbæ̯bohar,10,15,5,11,11,ব্যবহার,NA,NA,1.833333333,615.2164178,2.789027917,590.608,2.771299325,0.0001693170428,-3.771299325,1604,NA,0.1,-1,0.0001625444268,-3.789027917,0.06827728267,0.05315669802,0.01897686365,-0.1072892356,-0.09160521566,56.69566298
G11,179,দুষ্কার্য,Gramm,G11,9,a,দুষ্কার্য,326,200,12837,127.3963116,দুষ্কার্য,d̪uʃkarɟo,8,10,4,9,9,কার্য,NA,NA,2.4,597.0217778,2.775990173,626.873,2.797179565,0.0001595219446,-3.797179565,5292,NA,0.1,-1,0.0001674980775,-3.775990173,0.05462182614,0.05444595147,0.01520293966,-0.00683131174,-0.1731317997,37.11885178
F07,83,শালগুলো,Filler,F07,7,a,শালগুলো,488,200,17521,128.6484434,শালগুলো,ʃalgulo,7,7,4,7,7,শাল,NA,NA,NA,565.3562954,2.752322233,571.01,2.756643714,0.0001751282815,-3.756643714,8213,NA,0.1,-1,0.0001768796082,-3.752322233,0.04779409787,-0.004512387098,0.06003197359,0.05209075587,0.04856488517,50.74781962
G12,180,প্রতিপ্রশ্ন,Gramm,G12,11,a,প্রতিপ্রশ্ন,425,158,17124,123.7301899,প্রতিপ্রশ্ন,prot̪iproʃno,11,13,4,11,11,প্রশ্ন,NA,NA,2.3,542.7482937,2.734598467,499.328,2.69838592,0.0002002691618,-3.69838592,1581,NA,0.1,-1,0.0001842474701,-3.734598467,0.07510501094,-0.007090894012,-0.1197131369,-0.05461417004,-0.06483993697,51.07863903
G13,181,দুশ্চেষ্টা,Gramm,G13,10,a,দুশ্চেষ্টা,387,200,15545,121.0983746,দুশ্চেষ্টা,d̪uʃceʃta,8,10,3,10,10,চেষ্টা,NA,NA,2.133333333,537.213224,2.730146695,537.213,2.730146514,0.0001861459049,-3.730146514,1231,NA,0.1,-1,0.0001861458273,-3.730146695,0.05462182614,0.1140489168,-0.07833629588,-0.003467435891,0.006103866149,44.12772236
F08,84,শিশুদের,Filler,F08,7,a,শিশুদের,437,200,16975,125.977275,শিশুদের,ʃiʃud̪er,7,8,4,7,7,শিশু,NA,NA,NA,532.1417385,2.726027324,457.642,2.660525875,0.0002185114129,-3.660525875,2994,NA,0.1,-1,0.0001879198581,-3.726027324,0.04779409787,-0.004512387098,0.06003197359,0.04301021421,-0.0132023626,47.81448957
G14,182,প্রতিগ্রহণ,Gramm,G14,10,a,প্রতিগ্রহণ,491,158,18629,134.9237228,প্রতিগ্রহণ,prot̪igrohon,11,13,5,10,10,গ্রহণ,NA,NA,1.966666667,519.8857346,2.715907901,488.693,2.689036118,0.000204627445,-3.689036118,2528,NA,0.1,-1,0.0001923499595,-3.715907901,0.07510501094,-0.06669385931,-0.0261739014,-0.04133564232,-0.09067499488,55.66920215
G15,183,দুঃসংবাদ,Gramm,G15,8,a,দুঃসংবাদ,507,200,16792,127.5157831,দুঃসংবাদ,d̪uʃoŋbad̪,8,12,4,8,8,সংবাদ,NA,NA,2.966666667,511.6405608,2.708964966,470.709,2.672752502,0.0002124454812,-3.672752502,2442,NA,0.1,-1,0.0001954497115,-3.708964966,0.05462182614,-0.005157013827,0.01509569595,0.02574394294,0.06189597273,51.74345373
S04,232,দুর্লেজ,SemViol,S04,7,a,দুর্লেজ,324,200,12934,127.8181118,দুর্লেজ,d̪urleɟ,6,8,3,7,7,লেজ,NA,NA,6.633333333,511.4015253,2.708762019,552.314,2.742186052,0.000181056428,-3.742186052,3109,NA,0.1,-1,0.0001955410672,-3.708762019,0.0409663696,0.05573520493,0.01142901567,0.09653793582,-0.03147393624,39.33018056
F01,77,বাবাকে,Filler,F01,6,a,বাবাকে,417,160,14647,126.5653647,বাবাকে,babake,6,6,3,6,6,বাবা,NA,NA,NA,466.6832539,2.669022217,508.685,2.706448931,0.0001965853131,-3.706448931,2369,NA,0.1,-1,0.000214278098,-3.669022217,0.0409663696,-0.00386776037,0.01132177196,0.1244483823,0.09773434929,40.9280139
