ItemNo,Condition,ITEMNO,length,noise,stim,width,height,blackPx,luminance,Word,WordPhonetic,WordLenPhonemic,WordLenPhonetic,WordLength,WordLenUnicode,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq_old,log_stemFreq_old,stemFreq_new,log_stemFreq_new,Types,Exclude,wordFreq_old,log_wordFreq_old,TP_old,log_TP_old,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
S04,SemViol,S04,7,a,দুর্লেজ,324,200,12934,127.8181118,দুর্লেজ,d̪urleɟ,6,8,3,7,7,লেজ,,,6.633333333,511.4015253,2.70876201901371,552.314,2.74218605181627,3109,NA,0.1,-1,0.000195541067151369,-3.70876201901371,0.0409663696040342,0.0557352049289555,0.0114290156748831,0.0965379358241084,-0.0314739362361611,39.330180556952
F01,Filler,F01,6,a,বাবাকে,417,160,14647,126.5653647,বাবাকে,babake,6,6,3,6,6,বাবা,,,NA,466.6832539,2.66902221727833,508.685,2.70644893143266,2369,NA,0.1,-1,0.000214278097969695,-3.66902221727833,0.0409663696040342,-0.0038677603699637,0.0113217719649312,0.124448382338885,0.097734349293905,40.9280139007658
G16,Gramm,G16,8,a,প্রতিরূপ,425,199,17213,125.6962483,প্রতিরূপ,prot̪irup,8,10,4,8,8,রূপ,,,2.033333333,450.4381505,2.6536351665901,427.916,2.63135852528225,21814,NA,0.1,-1,0.00022200606207311,-3.6536351665901,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0195584993152579,-0.0368354266449121,52.8578554393454
F09,Filler,F09,6,a,উটপাখি,455,158,17939,132.4458753,উটপাখি,utpakʰi,6,7,4,6,6,উট,,,NA,445.5746569,2.64892048135444,378.738,2.57833888146721,8142,NA,0.1,-1,0.000224429281269565,-3.64892048135444,0.0409663696040342,-0.0038677603699637,0.104968251218878,0.0874963647619202,0.0190751845957061,54.7350835244335
C06,CatViol,C06,8,a,প্রতিদূর,415,199,16908,125.4276012,প্রতিদূর,prot̪id̪ur,8,10,4,8,8,দূর,Adj,,NA,441.7242187,2.64515121125618,388.717,2.58963353431469,4484,NA,0.1,-1,0.000226385594827246,-3.64515121125618,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0186452430854068,-0.0488868083120104,51.6687739376311
S05,SemViol,S05,7,a,দুর্চোখ,336,200,13010,125.4212772,দুর্চোখ,d̪urcokʰ,6,9,3,7,7,চোখ,,,6.666666667,424.4929643,2.62787049648572,416.003,2.61909646254681,1331,NA,0.1,-1,0.000235575164749556,-3.62787049648572,0.0409663696040342,0.0557352049289555,0.0114290156748831,0.0883899821318015,-0.0176501438653883,40.0546933471698
G17,Gramm,G17,10,a,প্রতিযুদ্ধ,442,200,18448,125.702564,প্রতিযুদ্ধ,prot̪iɟud̪d̪ʱo,10,15,5,10,10,যুদ্ধ,,,3.266666667,421.1330146,2.62441928914426,463.246,2.66581167799541,4012,NA,0.1,-1,0.00023745466760658,-3.62441928914426,0.0682772826733903,-0.00644626728327395,0.0188696199415516,-0.0823553835239774,-0.1604103191457,53.9851938340406
G18,Gramm,G18,7,a,দুঃশাসন,458,200,15825,130.4654542,দুঃশাসন,d̪uʃaʃon,7,9,4,7,7,শাসন,,,1.7,417.8589521,2.62102971081332,371.894,2.57041917166924,2401,NA,0.1,-1,0.000239315203126409,-3.62102971081332,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0582676192438737,0.0130260256030951,45.5696394473903
G19,Gramm,G19,8,a,প্রতিবোধ,504,160,19318,120.7311836,প্রতিবোধ,prot̪ibod̪ʱ,8,12,5,8,8,বোধ,,,1.6,400.6877154,2.60280602769405,412.708,2.61564288739494,6790,NA,0.1,-1,0.000249570915594883,-3.60280602769405,0.0546218261387122,-0.00515701382661901,0.108742175207188,-0.0542626644726427,-0.068886430051877,56.4954643660292
C07,CatViol,C07,8,a,দুর্শক্ত,303,200,11458,126.6118896,দুর্শক্ত,d̪urʃokt̪o,8,10,3,8,8,শক্ত,Adj,,NA,398.1824988,2.60008216769134,366.328,2.56387011489919,6662,NA,0.1,-1,0.000251141123232109,-3.60008216769134,0.0546218261387122,-0.00515701382661901,-0.0785507833007058,0.0796137927574347,-0.0572842880698804,34.5891564994938
