Word,total_frequency,ItemNo,Condition,ITEMNO,...4,noise,stim,width,height,blackPx,luminance,WordPhonetic,WLp,WordLenPhonetic,WLa,WLc,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq,log_stemFreq,stemFreq_new,log_stemFreq_new,Types,Exclude,wordFreq,log_wordFreq,Tp,log_Tp,Tp_new,log_Tp_new,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
দুর্দশা,984,G45,Gramm,G45,7,a,দুর্দশা,298,200,10898,123.3429604,d̪urd̪oʃa,7,10,3,7,7,দশা,NA,NA,1.933333333,83.56723737,1.92203604516351,84.403,1.92635788335896,2451,NA,984,2.99299509843134,11.6583533760648,1.06663721507238,0.0392567131381586,-1.40608606555409,0.0477940978713732,-0.00451238709829112,-0.0336145056678869,0.0909975592522725,-0.0548641809445809,32.6018561255945
উদ্ভিদের,921,F35,Filler,F35,8,a,উদ্ভিদের,463,160,18559,125.518632,ud̪bʱid̪er,7,11,4,8,8,উদ্ভিদ,NA,NA,NA,15.59318829,1.19293492309044,14.502,1.16142790079129,332,NA,921,2.96425963019685,63.5084815887464,1.80283172940555,1.64900713556751,0.217222534923408,0.0477940978713732,0.0550905782006281,0.060139217296012,0.00928195812369667,-0.00015058061562147,56.0960887785971
দুঃসাহস,889,G43,Gramm,G43,7,a,দুঃসাহস,441,200,15410,125.2527759,d̪uʃahoʃ,7,9,4,7,7,সাহস,NA,NA,1.933333333,87.06170925,1.93982718924633,75.744,1.87934823624899,699,NA,889,2.94890176097021,11.736903253063,1.06955352472122,0.0364355449672581,-1.43847473033836,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0405473053760357,-0.00857696851000927,45.3776052166414
খাদ্যশস্য,765,F20,Filler,F20,9,a,খাদ্যশস্য,482,158,15651,121.5661891,kʰad̪d̪oʃorʃo,10,14,4,9,9,খাদ্য,NA,NA,NA,140.6149824,2.14803159683592,140.615,2.14803165119416,1695,NA,765,2.88366143515362,5.44038687195534,0.735629783959457,0.0062404325185791,-2.20478530872742,0.0682772826733903,-0.0660492325821932,-0.0748841030223473,-0.00730512329658572,0.030177587558603,44.3779292764602
দুর্ব্যবহার,744,G10,Gramm,G10,11,a,দুর্ব্যবহার,514,200,19413,127.830918,d̪urbæ̯bohar,10,15,5,11,11,ব্যবহার,NA,NA,1.833333333,615.2164178,2.78902791662563,590.608,2.77129932534549,1604,NA,744,2.87157293554588,1.25971879825536,0.100273610200388,0.00016931704277625,-3.77129932534549,0.0682772826733903,0.0531566980156453,0.0189768636515035,-0.107289235627999,-0.0916052156624804,56.6956629799934
হৃদয়ের,707,F25,Filler,F25,7,a,হৃদয়ের,404,166,14563,127.8938921,rid̪ɔʲer,7,9,4,7,7,হৃদয়,NA,NA,NA,82.57280814,1.91683705435453,85.05,1.92967431794859,2027,NA,707,2.8494194137969,8.31275720164609,0.919745095848312,0.0395420820811288,-1.40294046672345,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0495256856504201,-0.0523143657080799,40.6060728521441
হাড়ের,673,F16,Filler,F16,6,a,হাড়ের,358,169,13141,125.0759579,haɽer,5,5,3,6,6,হাড়,NA,NA,NA,212.0959208,2.32653231589475,201.491,2.30425565227549,2528,NA,673,2.82801506422398,3.34009955779663,0.523759411948485,0.00049630008288211,-3.30425565227549,0.0341386413366951,0.0563798316572822,0.0563652933077012,0.109712456153464,0.0178243566422359,38.0399012532226
পুরুষকে,594,F12,Filler,F12,7,a,পুরুষকে,428,200,17376,123.3364671,puruʃke,7,7,4,7,7,পুরুষ,NA,NA,NA,248.0195471,2.39448591011303,260.421,2.41567600223252,4390,NA,594,2.77378644498119,2.28092204545716,0.358110442748671,0.00038399361034632,-3.41567600223252,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0340328819933958,-0.0246113634028526,49.6921191327766
দুঃস্বপ্ন,592,G36,Gramm,G36,9,a,দুঃস্বপ্ন,329,200,12588,124.7381709,d̪uʃʃɔpno,8,10,3,9,9,স্বপ্ন,NA,NA,2.033333333,206.1376238,2.31415726551761,187.585,2.27319810761618,2565,NA,592,2.77232170672292,3.15590265746195,0.499123599106741,0.00074470822613748,-3.12801384886056,0.0546218261387122,0.0544459514723002,-0.0784435395907539,0.0410750373226424,-0.044564450945858,40.8171551127074
প্রতিপালন,562,G24,Gramm,G24,9,a,প্রতিপালন,556,158,20546,121.5628048,prot̪ipalon,10,12,5,9,9,পালন,NA,NA,2.233333333,294.2941365,2.46878160932672,250.15,2.39820050721943,1217,NA,562,2.74973631556906,2.24665200879472,0.351535808349633,0.00039976014391365,-3.39820050721943,0.0682772826733903,-0.0660492325821932,0.0187623762315997,-0.0642592316209064,-0.00670369903414062,59.7897737238941
